statistic_yyy,according,site_id,death_total,death_m,death_f,death_age_000_m,death_age_000_f,death_age_000_thisyear_m,death_age_000_thisyear_f,death_age_000_lastyear_m,death_age_000_lastyear_f,death_age_001_m,death_age_001_f,death_age_002_m,death_age_002_f,death_age_003_m,death_age_003_f,death_age_004_m,death_age_004_f,death_age_005_m,death_age_005_f,death_age_006_m,death_age_006_f,death_age_007_m,death_age_007_f,death_age_008_m,death_age_008_f,death_age_009_m,death_age_009_f,death_age_010_m,death_age_010_f,death_age_011_m,death_age_011_f,death_age_012_m,death_age_012_f,death_age_013_m,death_age_013_f,death_age_014_m,death_age_014_f,death_age_015_m,death_age_015_f,death_age_016_m,death_age_016_f,death_age_017_m,death_age_017_f,death_age_018_m,death_age_018_f,death_age_019_m,death_age_019_f,death_age_020_m,death_age_020_f,death_age_021_m,death_age_021_f,death_age_022_m,death_age_022_f,death_age_023_m,death_age_023_f,death_age_024_m,death_age_024_f,death_age_025_m,death_age_025_f,death_age_026_m,death_age_026_f,death_age_027_m,death_age_027_f,death_age_028_m,death_age_028_f,death_age_029_m,death_age_029_f,death_age_030_m,death_age_030_f,death_age_031_m,death_age_031_f,death_age_032_m,death_age_032_f,death_age_033_m,death_age_033_f,death_age_034_m,death_age_034_f,death_age_035_m,death_age_035_f,death_age_036_m,death_age_036_f,death_age_037_m,death_age_037_f,death_age_038_m,death_age_038_f,death_age_039_m,death_age_039_f,death_age_040_m,death_age_040_f,death_age_041_m,death_age_041_f,death_age_042_m,death_age_042_f,death_age_043_m,death_age_043_f,death_age_044_m,death_age_044_f,death_age_045_m,death_age_045_f,death_age_046_m,death_age_046_f,death_age_047_m,death_age_047_f,death_age_048_m,death_age_048_f,death_age_049_m,death_age_049_f,death_age_050_m,death_age_050_f,death_age_051_m,death_age_051_f,death_age_052_m,death_age_052_f,death_age_053_m,death_age_053_f,death_age_054_m,death_age_054_f,death_age_055_m,death_age_055_f,death_age_056_m,death_age_056_f,death_age_057_m,death_age_057_f,death_age_058_m,death_age_058_f,death_age_059_m,death_age_059_f,death_age_060_m,death_age_060_f,death_age_061_m,death_age_061_f,death_age_062_m,death_age_062_f,death_age_063_m,death_age_063_f,death_age_064_m,death_age_064_f,death_age_065_m,death_age_065_f,death_age_066_m,death_age_066_f,death_age_067_m,death_age_067_f,death_age_068_m,death_age_068_f,death_age_069_m,death_age_069_f,death_age_070_m,death_age_070_f,death_age_071_m,death_age_071_f,death_age_072_m,death_age_072_f,death_age_073_m,death_age_073_f,death_age_074_m,death_age_074_f,death_age_075_m,death_age_075_f,death_age_076_m,death_age_076_f,death_age_077_m,death_age_077_f,death_age_078_m,death_age_078_f,death_age_079_m,death_age_079_f,death_age_080_m,death_age_080_f,death_age_081_m,death_age_081_f,death_age_082_m,death_age_082_f,death_age_083_m,death_age_083_f,death_age_084_m,death_age_084_f,death_age_085_m,death_age_085_f,death_age_086_m,death_age_086_f,death_age_087_m,death_age_087_f,death_age_088_m,death_age_088_f,death_age_089_m,death_age_089_f,death_age_090_m,death_age_090_f,death_age_091_m,death_age_091_f,death_age_092_m,death_age_092_f,death_age_093_m,death_age_093_f,death_age_094_m,death_age_094_f,death_age_095_m,death_age_095_f,death_age_096_m,death_age_096_f,death_age_097_m,death_age_097_f,death_age_098_m,death_age_098_f,death_age_099_m,death_age_099_f,death_age_100up_m,death_age_100up_f
統計年度,按照別,區域別,總計_計,總計_男,總計_女,0歲_男,0歲_女,本年出生_男,本年出生_女,去年出生_男,去年出生_女,1歲_男,1歲_女,2歲_男,2歲_女,3歲_男,3歲_女,4歲_男,4歲_女,5歲_男,5歲_女,6歲_男,6歲_女,7歲_男,7歲_女,8歲_男,8歲_女,9歲_男,9歲_女,10歲_男,10歲_女,11歲_男,11歲_女,12歲_男,12歲_女,13歲_男,13歲_女,14歲_男,14歲_女,15歲_男,15歲_女,16歲_男,16歲_女,17歲_男,17歲_女,18歲_男,18歲_女,19歲_男,19歲_女,20歲_男,20歲_女,21歲_男,21歲_女,22歲_男,22歲_女,23歲_男,23歲_女,24歲_男,24歲_女,25歲_男,25歲_女,26歲_男,26歲_女,27歲_男,27歲_女,28歲_男,28歲_女,29歲_男,29歲_女,30歲_男,30歲_女,31歲_男,31歲_女,32歲_男,32歲_女,33歲_男,33歲_女,34歲_男,34歲_女,35歲_男,35歲_女,36歲_男,36歲_女,37歲_男,37歲_女,38歲_男,38歲_女,39歲_男,39歲_女,40歲_男,40歲_女,41歲_男,41歲_女,42歲_男,42歲_女,43歲_男,43歲_女,44歲_男,44歲_女,45歲_男,45歲_女,46歲_男,46歲_女,47歲_男,47歲_女,48歲_男,48歲_女,49歲_男,49歲_女,50歲_男,50歲_女,51歲_男,51歲_女,52歲_男,52歲_女,53歲_男,53歲_女,54歲_男,54歲_女,55歲_男,55歲_女,56歲_男,56歲_女,57歲_男,57歲_女,58歲_男,58歲_女,59歲_男,59歲_女,60歲_男,60歲_女,61歲_男,61歲_女,62歲_男,62歲_女,63歲_男,63歲_女,64歲_男,64歲_女,65歲_男,65歲_女,66歲_男,66歲_女,67歲_男,67歲_女,68歲_男,68歲_女,69歲_男,69歲_女,70歲_男,70歲_女,71歲_男,71歲_女,72歲_男,72歲_女,73歲_男,73歲_女,74歲_男,74歲_女,75歲_男,75歲_女,76歲_男,76歲_女,77歲_男,77歲_女,78歲_男,78歲_女,79歲_男,79歲_女,80歲_男,80歲_女,81歲_男,81歲_女,82歲_男,82歲_女,83歲_男,83歲_女,84歲_男,84歲_女,85歲_男,85歲_女,86歲_男,86歲_女,87歲_男,87歲_女,88歲_男,88歲_女,89歲_男,89歲_女,90歲_男,90歲_女,91歲_男,91歲_女,92歲_男,92歲_女,93歲_男,93歲_女,94歲_男,94歲_女,95歲_男,95歲_女,96歲_男,96歲_女,97歲_男,97歲_女,98歲_男,98歲_女,99歲_男,99歲_女,100歲以上_男,100歲以上_女
107,按登記日期分,新北市板橋區,3182,1919,1263,10,5,9,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,3,1,0,0,0,3,3,2,2,0,1,1,0,0,3,0,2,1,2,0,0,0,0,2,3,1,3,4,4,2,6,2,7,4,4,5,8,4,3,4,7,2,6,4,18,2,4,4,10,6,6,4,15,3,13,5,17,8,19,5,13,10,20,10,12,8,22,7,17,9,23,13,31,13,19,10,35,16,29,17,23,15,38,16,38,17,43,24,51,21,37,24,40,23,38,29,41,33,50,31,38,27,40,19,49,29,42,22,31,18,37,22,44,20,49,28,33,26,48,37,52,40,40,32,43,36,44,29,40,34,38,33,50,39,40,39,45,38,38,39,40,41,41,34,41,28,27,24,33,26,32,20,13,13,17,15,18,7,3,4,6,2,3,9
107,按登記日期分,新北市三重區,2471,1459,1012,12,3,11,2,1,1,1,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,4,0,2,1,2,0,4,0,0,0,1,0,2,1,0,0,2,0,1,1,3,0,0,2,1,1,0,2,3,1,3,2,3,1,6,2,1,3,7,4,10,2,9,5,7,1,9,5,4,2,14,3,12,2,7,4,8,7,11,4,14,8,20,5,14,8,12,10,25,8,23,6,20,12,29,17,27,8,23,8,26,15,32,15,25,12,31,15,34,16,37,11,33,16,29,21,43,19,33,20,43,19,24,21,27,17,24,20,22,14,37,16,35,22,32,18,25,26,41,25,23,29,37,19,41,35,39,30,29,34,37,38,31,34,32,35,33,28,25,29,25,26,23,20,18,29,10,35,14,16,12,13,9,20,7,6,5,6,7,3,2,7,3,1,6,5
107,按登記日期分,新北市中和區,2542,1494,1048,6,6,5,5,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,3,0,1,1,2,2,1,0,2,0,3,0,1,0,2,2,2,0,4,0,2,0,1,0,4,1,3,3,3,1,5,2,4,5,2,4,5,5,6,7,6,2,7,3,7,4,9,5,7,5,9,8,12,4,11,4,9,5,6,7,16,5,11,2,18,4,13,10,15,7,18,8,25,13,23,12,13,6,21,12,29,13,23,12,35,24,39,14,28,19,37,19,32,21,35,29,25,23,39,21,26,17,22,21,23,8,35,29,40,24,29,18,29,23,26,18,20,22,22,23,30,29,32,31,28,31,34,33,28,25,27,36,39,32,36,27,48,29,46,32,49,37,38,21,27,27,32,14,20,21,10,12,9,17,13,6,9,8,7,4,16,9
107,按登記日期分,新北市永和區,1401,792,609,3,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,2,0,1,0,1,2,1,0,1,0,0,0,2,1,1,1,1,2,2,2,1,0,1,2,0,0,2,2,1,2,2,6,3,0,3,1,6,2,2,4,4,1,5,1,5,1,4,3,3,3,4,1,4,3,10,6,4,3,13,5,12,5,10,6,9,8,7,3,12,10,15,10,13,2,12,6,18,9,14,9,11,13,13,10,11,12,13,11,17,13,18,4,10,9,5,4,14,11,18,9,16,12,19,9,25,9,14,14,18,14,11,18,14,16,16,17,20,17,21,25,23,23,18,18,26,19,23,21,22,19,20,19,21,21,24,18,20,14,14,10,13,14,13,13,8,3,6,7,8,4,11,15
107,按登記日期分,新北市新莊區,1959,1192,767,3,7,3,7,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,3,0,0,0,2,0,0,1,0,0,2,1,1,2,1,0,1,1,0,1,1,0,2,3,3,1,2,0,2,1,1,2,5,6,3,2,3,4,4,6,11,5,6,7,11,3,11,2,4,1,13,2,8,3,16,2,13,5,11,5,11,3,14,3,5,5,17,4,18,6,21,6,21,6,17,13,16,8,23,10,26,11,17,9,23,8,24,14,31,15,37,14,30,17,33,18,32,18,29,19,33,22,32,18,31,12,18,8,25,12,20,16,29,13,34,18,32,25,19,27,24,16,16,20,32,15,27,20,15,19,19,21,16,20,18,27,26,16,23,20,17,19,16,18,18,9,7,13,11,15,12,10,7,11,8,3,6,7,1,4,2,4,5,3
107,按登記日期分,新北市新店區,2033,1201,832,2,5,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,1,0,0,0,2,0,2,1,3,0,1,0,3,0,2,1,0,2,1,0,2,1,1,0,1,1,1,1,3,0,0,0,2,2,1,6,2,1,1,3,5,1,6,1,6,6,7,1,5,0,7,5,6,9,10,1,14,0,12,7,9,4,13,4,9,12,17,2,12,11,17,12,16,15,24,9,20,11,17,13,19,10,19,7,28,11,17,13,24,9,30,15,22,14,24,26,33,14,24,11,19,13,20,15,19,9,24,13,28,14,20,18,25,18,23,21,21,19,21,17,28,23,22,20,31,32,33,24,35,25,37,24,48,34,30,30,28,34,37,22,35,29,27,15,21,16,16,19,9,17,4,11,6,5,5,4,19,12
107,按登記日期分,新北市樹林區,970,577,393,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,1,2,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,2,3,1,1,3,2,4,2,1,0,2,0,1,0,4,3,7,2,6,2,6,2,8,2,3,2,2,2,1,2,5,4,4,3,4,0,6,1,5,2,11,7,7,4,10,3,16,8,13,6,10,8,9,8,11,1,23,8,14,8,10,7,19,10,9,7,13,9,7,9,16,8,17,8,10,6,5,4,1,8,8,6,11,8,9,9,14,6,8,10,19,10,13,8,21,10,12,9,16,7,13,9,12,13,6,8,9,15,7,11,10,7,14,11,9,14,7,5,11,5,12,9,4,7,7,5,2,3,3,1,2,1,0,2,1,3
107,按登記日期分,新北市鶯歌區,572,335,237,1,4,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,2,1,0,1,1,1,0,0,2,0,0,1,1,0,1,1,0,0,2,3,4,1,0,1,1,0,4,1,3,1,8,1,9,2,3,3,3,6,3,2,7,1,2,0,4,4,8,3,10,3,6,3,9,5,10,2,10,3,6,3,4,4,9,2,7,3,13,2,4,4,6,5,5,2,8,1,4,4,5,6,7,4,2,4,4,6,6,4,6,4,5,8,9,5,5,5,14,5,5,12,5,8,6,4,7,9,5,5,7,7,6,7,11,8,6,4,6,7,5,3,5,2,4,2,2,7,1,4,1,3,3,4,0,1,1,1,1,1
107,按登記日期分,新北市三峽區,790,511,279,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,3,1,1,0,0,0,0,0,0,0,1,0,3,0,2,0,2,2,1,1,3,1,7,0,7,1,6,0,2,1,4,0,4,0,2,1,2,1,5,1,3,0,7,0,8,3,6,0,17,2,8,4,2,3,8,4,6,2,9,2,12,2,14,7,7,1,16,3,7,3,9,4,11,1,9,3,8,5,6,2,7,4,9,3,3,7,5,3,7,8,13,7,11,7,5,7,9,13,5,6,14,3,7,9,12,11,9,6,12,11,13,7,12,12,14,17,17,13,15,6,17,7,12,9,9,4,9,10,7,1,3,5,2,4,8,2,2,2,2,2,2,1,2,5
107,按登記日期分,新北市淡水區,1039,598,441,3,3,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,2,0,2,0,0,1,4,0,0,0,0,1,1,0,0,1,2,0,2,0,1,0,2,0,1,0,0,0,1,4,0,0,1,0,2,1,2,2,3,2,1,0,2,0,0,0,1,1,1,1,1,1,4,1,3,2,2,1,1,5,6,3,5,1,10,0,7,6,6,7,5,4,5,5,7,5,19,11,8,5,14,4,10,4,9,5,9,5,12,7,9,6,12,13,7,5,15,8,15,7,6,8,16,11,10,10,12,5,17,5,16,7,15,9,15,8,14,7,17,12,12,12,13,8,8,5,13,8,17,12,11,8,9,17,13,8,17,14,15,21,16,16,14,15,17,8,10,12,5,15,5,9,7,1,5,9,7,7,0,8,3,2,2,2
107,按登記日期分,新北市汐止區,1252,718,534,4,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,2,2,0,0,0,2,0,1,2,1,0,2,0,0,0,0,3,1,2,1,1,4,1,0,3,1,3,4,2,3,3,7,4,3,2,5,1,8,2,6,2,6,4,3,2,8,1,8,1,5,6,8,4,10,4,10,3,10,5,15,9,18,9,12,12,12,14,17,8,12,8,14,9,14,4,7,4,15,4,14,14,18,6,14,17,10,7,14,7,17,9,13,3,12,5,4,10,18,5,25,8,11,18,19,4,13,13,13,11,22,25,23,14,14,14,15,15,19,13,11,17,16,21,11,18,19,13,18,8,11,9,15,12,6,16,6,16,9,10,1,8,5,4,10,4,0,2,1,4,5,7
107,按登記日期分,新北市瑞芳區,430,243,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,0,1,0,2,3,0,1,1,1,1,0,3,0,1,1,2,2,1,0,5,2,1,0,2,0,1,1,2,1,6,2,0,1,3,0,3,1,6,0,3,3,5,2,6,0,5,0,6,1,9,2,5,1,7,3,2,1,5,2,4,0,5,4,2,3,1,2,3,4,0,6,3,2,8,3,5,3,4,9,4,5,11,4,8,7,3,5,5,8,12,11,10,4,4,5,7,7,9,9,6,9,5,4,6,6,1,7,4,7,2,6,1,2,3,3,1,3,3,2,1,0,1,3,1,1,1,0
107,按登記日期分,新北市土城區,1247,755,492,8,3,7,3,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,2,0,4,0,2,0,0,0,2,0,1,0,0,0,1,0,2,2,2,0,1,1,2,0,2,2,2,3,3,3,5,1,3,1,3,2,2,1,1,4,2,1,6,4,8,0,5,1,5,4,7,0,6,1,6,3,6,4,10,4,10,2,11,5,13,7,10,8,12,4,17,6,13,9,19,3,18,7,17,8,16,8,12,8,14,14,25,19,17,9,21,9,24,10,13,10,15,5,16,10,14,6,19,7,15,11,14,14,14,11,17,14,14,13,11,19,21,14,16,17,10,15,12,7,9,13,15,15,18,11,14,15,17,22,18,8,15,9,9,12,6,9,2,5,5,3,5,1,5,6,3,2,2,2,1,2,4,1
107,按登記日期分,新北市蘆洲區,1005,603,402,2,3,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,1,0,1,2,2,1,2,1,4,0,4,4,6,2,1,2,2,0,3,0,4,2,6,2,5,3,8,3,3,3,6,4,7,5,11,5,8,2,9,3,6,4,17,5,8,6,15,5,15,3,14,6,14,9,6,6,14,4,14,11,15,6,14,9,16,8,12,10,12,7,17,14,13,3,14,7,4,9,6,9,16,6,19,7,13,8,11,13,16,9,20,6,16,11,13,11,10,9,8,10,17,14,19,11,11,9,12,4,11,9,10,9,9,11,1,8,5,13,2,5,5,4,4,8,1,4,2,1,0,2,0,2,0,5
107,按登記日期分,新北市五股區,488,313,175,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2,0,3,0,0,1,3,0,1,1,1,1,1,0,2,0,2,1,1,0,0,1,1,1,3,1,2,2,4,1,2,0,4,1,7,1,5,0,4,1,6,6,4,1,5,2,2,0,9,6,3,1,3,0,7,0,10,1,4,5,4,4,6,2,4,5,9,1,3,3,7,5,9,4,6,4,0,3,3,5,10,5,6,2,3,6,7,2,8,6,10,5,3,7,5,6,4,5,6,3,12,4,9,8,6,1,7,7,15,6,9,6,5,2,7,5,9,3,5,0,2,2,2,1,2,3,1,1,2,1,1,1,1,1
107,按登記日期分,新北市泰山區,393,256,137,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,3,0,0,0,2,0,2,1,3,3,0,0,1,3,2,1,2,0,1,0,2,3,2,0,0,0,4,2,5,4,1,0,2,1,1,1,7,2,6,4,5,1,4,5,5,2,1,2,2,1,9,0,8,3,4,3,2,0,6,1,4,4,8,4,7,1,7,1,4,3,2,2,7,3,9,2,8,1,6,3,11,5,3,2,5,3,3,5,3,4,4,4,2,3,10,4,6,1,5,2,4,4,1,4,6,6,6,3,7,2,3,3,6,1,4,3,1,1,1,0,1,1,0,3,0,0,0,1
107,按登記日期分,新北市林口區,465,271,194,2,4,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,0,0,1,2,0,1,2,4,3,0,0,1,3,1,2,3,0,3,1,4,1,5,0,1,3,3,1,6,2,5,3,6,1,3,3,1,2,6,2,6,2,5,5,6,2,0,1,6,1,5,3,4,1,4,3,6,4,7,2,7,1,5,3,3,5,6,1,3,1,0,1,5,2,8,3,5,3,5,0,4,5,7,4,4,6,4,8,3,3,4,4,10,10,3,8,5,4,4,3,12,4,8,9,6,5,7,7,4,5,7,2,3,3,5,1,2,3,1,2,3,4,1,4,1,1,2,2
107,按登記日期分,新北市深坑區,158,103,55,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,4,0,1,1,3,1,1,1,0,1,3,0,2,2,2,0,0,0,3,1,0,1,1,0,2,1,1,0,4,1,3,1,0,1,0,2,3,0,2,0,1,0,3,1,0,2,3,0,2,3,4,2,3,1,8,2,4,3,10,3,2,1,1,1,1,1,2,1,1,3,3,2,1,1,2,3,0,2,1,0,0,2,2,0,2,1,0,0,0,0,1,1,1,0
107,按登記日期分,新北市石碇區,80,53,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,2,0,2,1,3,0,2,0,1,1,2,0,0,0,2,0,0,0,1,0,2,1,1,0,1,0,2,0,1,0,1,1,2,2,2,1,1,1,1,4,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,3,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0
107,按登記日期分,新北市坪林區,74,46,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,5,2,4,0,0,0,1,2,1,0,1,1,1,2,3,2,1,0,3,3,1,2,2,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0
107,按登記日期分,新北市三芝區,210,119,91,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,2,0,2,0,0,3,1,0,1,1,0,1,0,0,0,4,2,1,1,1,1,2,1,1,0,3,1,1,1,1,1,3,1,4,1,1,1,3,0,3,2,1,1,2,2,1,1,1,5,2,1,1,0,2,0,3,1,6,1,4,1,4,4,1,3,5,2,2,5,2,2,1,1,5,4,3,0,6,5,5,5,4,4,5,4,0,1,0,1,3,3,1,1,0,3,0,3,1,1,0,0,1,2
107,按登記日期分,新北市石門區,95,54,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,2,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,2,0,0,0,0,0,0,1,1,0,1,3,2,2,1,0,0,3,3,1,0,0,0,1,4,0,1,2,0,0,3,0,2,2,3,3,2,0,2,1,1,4,0,4,0,0,0,2,0,2,0,1,0,0,1,1,0,0,0,0
107,按登記日期分,新北市八里區,267,163,104,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,2,2,1,0,0,0,1,0,3,0,2,0,2,1,4,0,3,0,0,0,1,1,4,1,5,4,2,2,4,1,3,2,1,1,4,0,5,2,2,1,1,1,4,0,4,1,5,3,3,3,5,2,2,3,1,2,3,0,6,2,3,1,3,2,5,1,3,3,0,3,2,1,2,1,6,1,6,0,2,6,1,2,1,2,5,2,4,4,3,3,4,2,4,4,0,3,3,7,1,3,2,3,0,2,2,4,2,1,1,2,0,0,0,1
107,按登記日期分,新北市平溪區,84,44,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,1,0,2,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,2,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,2,2,1,3,1,1,1,1,2,3,6,0,1,4,0,4,0,0,0,1,0,1,1,0,0,3,1,2,2,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1
107,按登記日期分,新北市雙溪區,126,79,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,1,0,0,1,0,2,2,1,2,1,1,1,3,0,1,0,2,0,0,0,1,0,4,1,1,1,1,2,3,2,3,1,7,1,2,1,2,4,4,3,2,2,4,1,3,3,5,2,4,4,3,2,2,0,1,3,0,1,0,0,0,2,1,1,0,1,0,1,0,1,0,0,1,0
